Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1988,61.5,69,30.1,104.05,125.4 ,78.4 ,53.7 ,58.1 ,61.6 ,63.6 ,48.4 ,93.3 ,62.0 ,58.1 ,98.8 ,84.2 ,103.3 ,58.6 ,73.2 ,85.3 ,92.4 ,23.9 ,104.8 ,36.3 ,22.0 ,62.2 ,40.3 ,84.7 
1989,45.1,67,30.5,114.35,73.2 ,43.5 ,28.5 ,76.7 ,107.8 ,46.6 ,105.6 ,68.6 ,77.0 ,27.0 ,136.5 ,120.9 ,92.8 ,54.2 ,99.7 ,51.3 ,71.2 ,37.6 ,60.7 ,32.5 ,66.3 ,32.7 ,34.9 ,79.9 
1990,66.2,90,41.65,139.35,90.7 ,120.7 ,120.7 ,144.1 ,109.0 ,133.3 ,82.4 ,36.2 ,80.5 ,47.1 ,124.6 ,83.2 ,168.3 ,66.5 ,80.8 ,77.2 ,134.6 ,92.2 ,61.5 ,52.5 ,102.7 ,24.6 ,61.5 ,66.5 
1991,107.7,66,26.45,109.75,107.2 ,93.1 ,72.5 ,56.2 ,59.2 ,47.5 ,65.5 ,84.4 ,56.9 ,28.7 ,44.7 ,115.3 ,48.1 ,23.1 ,71.8 ,45.4 ,84.5 ,94.7 ,66.2 ,58.0 ,112.3 ,73.1 ,24.2 ,67.3 
1992,110.7,77,52.05,115.05,61.9 ,106.9 ,57.5 ,96.1 ,56.7 ,69.7 ,128.5 ,50.0 ,54.8 ,54.1 ,111.7 ,61.9 ,91.4 ,118.4 ,91.5 ,86.2 ,62.9 ,48.6 ,67.1 ,90.7 ,68.3 ,56.7 ,105.2 ,55.1 
1993,67.9,79,30.85,120.75,95.0 ,94.2 ,126.5 ,85.2 ,115.0 ,40.6 ,76.3 ,105.4 ,95.4 ,27.4 ,84.7 ,140.4 ,34.3 ,59.1 ,66.2 ,61.5 ,84.3 ,93.0 ,53.3 ,104.0 ,72.5 ,96.5 ,88.6 ,14.8 
1994,90.4,71,33.65,118.65,46.0 ,45.5 ,67.4 ,98.9 ,50.3 ,66.3 ,83.3 ,46.2 ,52.0 ,51.8 ,120.7 ,107.9 ,49.2 ,54.3 ,93.8 ,87.7 ,135.0 ,11.9 ,55.0 ,116.6 ,36.8 ,106.3 ,30.5 ,106.7 
1995,66.6,77,19.4,128,119.4 ,14.1 ,11.5 ,136.6 ,105.2 ,24.7 ,38.8 ,76.5 ,91.5 ,72.0 ,83.9 ,30.5 ,104.1 ,53.6 ,111.6 ,67.5 ,81.5 ,93.7 ,69.5 ,146.4 ,68.3 ,65.3 ,98.1 ,90.7 
1996,111.1,76,36.05,115.25,54.3 ,44.2 ,104.6 ,62.7 ,77.7 ,70.7 ,30.4 ,87.2 ,94.6 ,85.3 ,60.1 ,106.3 ,88.3 ,25.5 ,98.4 ,48.6 ,112.9 ,78.9 ,87.4 ,130.3 ,74.0 ,41.7 ,42.2 ,117.6 
1997,34.2,73,32.75,107.95,63.9 ,90.4 ,87.8 ,111.1 ,31.6 ,94.0 ,76.7 ,44.7 ,65.6 ,69.4 ,78.9 ,151.1 ,52.7 ,33.9 ,70.3 ,78.1 ,86.9 ,104.8 ,101.7 ,52.6 ,52.1 ,71.4 ,62.2 ,22.2 
