Year,Historical,Ensemble,10th percentile,90th percentile,FGOALS-g2 ,MIROC5 ,NorESM1-M ,IPSL-CM5A-MR ,CESM1-CAM5 ,GFDL-ESM2G ,MIROC-ESM-CHEM ,MPI-ESM-MR ,IPSL-CM5A-LR ,GFDL-CM3 ,HadGEM2-AO ,CNRM-CM5 ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,bcc-csm1-1 ,MRI-CGCM3 ,NorESM1-ME ,GFDL-ESM2M ,BNU-ESM ,bcc-csm1-1-m ,MIROC-ESM ,CanESM2 ,CCSM4 ,HadGEM2-ES 
1999,137.4,204,145.8,288.7,160.0 ,194.1 ,206.6 ,164.7 ,210.3 ,183.1 ,224.9 ,158.2 ,363.3 ,167.4 ,174.7 ,205.9 ,136.2 ,267.4 ,154.7 ,279.3 ,204.9 ,224.3 ,298.1 ,213.4 ,192.7 ,163.6 ,136.9 ,230.1 
2000,197.2,192,148.6,261.2,159.1 ,244.4 ,184.2 ,188.7 ,157.5 ,205.1 ,160.7 ,286.7 ,190.4 ,245.0 ,158.3 ,184.0 ,155.6 ,174.6 ,209.4 ,268.1 ,167.2 ,161.1 ,141.6 ,192.2 ,127.3 ,254.3 ,214.9 ,186.9 
2001,147.6,202,134.65,258.3,232.6 ,209.3 ,188.3 ,291.7 ,207.6 ,255.1 ,261.5 ,167.1 ,205.4 ,214.9 ,222.1 ,196.6 ,156.6 ,187.8 ,162.1 ,126.1 ,222.1 ,251.2 ,136.0 ,133.3 ,225.1 ,169.7 ,203.3 ,239.4 
2002,133.7,213,153,276.4,242.5 ,196.2 ,231.9 ,191.0 ,216.1 ,244.8 ,254.1 ,130.0 ,206.4 ,321.8 ,200.3 ,169.0 ,216.1 ,171.4 ,197.9 ,184.1 ,237.6 ,187.4 ,203.0 ,262.1 ,211.7 ,137.0 ,217.0 ,290.7 
2003,162.4,187,124.85,254.1,181.6 ,180.6 ,146.9 ,182.9 ,102.3 ,220.3 ,216.2 ,211.7 ,196.5 ,252.1 ,130.2 ,256.1 ,318.4 ,119.5 ,161.0 ,176.8 ,150.4 ,145.7 ,177.5 ,234.7 ,199.5 ,170.0 ,132.5 ,225.5 
2004,225,180,108.05,243.25,247.2 ,77.3 ,140.2 ,64.6 ,244.0 ,175.8 ,197.6 ,138.8 ,155.6 ,242.5 ,171.3 ,158.8 ,226.9 ,218.2 ,208.6 ,212.3 ,160.3 ,177.5 ,197.6 ,163.7 ,209.1 ,184.2 ,183.3 ,170.3 
2005,212.4,179,119.6,218,206.7 ,216.5 ,175.0 ,201.7 ,169.7 ,172.2 ,200.5 ,206.7 ,169.1 ,183.3 ,122.3 ,166.2 ,185.1 ,236.7 ,97.4 ,219.5 ,154.3 ,201.1 ,187.0 ,154.8 ,116.9 ,169.0 ,182.3 ,201.7 
2006,167.6,197,129.9,294.75,202.9 ,197.8 ,224.9 ,133.1 ,320.6 ,173.2 ,174.3 ,286.6 ,131.5 ,302.9 ,210.6 ,243.5 ,198.1 ,131.9 ,172.5 ,216.5 ,223.3 ,245.5 ,104.5 ,191.1 ,180.3 ,128.3 ,159.4 ,175.2 
2007,255.3,190,130.7,261.65,204.0 ,310.5 ,160.0 ,173.9 ,128.7 ,175.2 ,153.2 ,237.2 ,171.0 ,242.6 ,179.3 ,185.8 ,198.2 ,155.5 ,206.2 ,208.0 ,214.1 ,132.7 ,203.4 ,189.5 ,172.1 ,128.3 ,168.5 ,280.7 
2008,238.3,185,138,238.05,193.3 ,166.8 ,241.4 ,187.8 ,134.7 ,213.8 ,212.5 ,146.3 ,177.1 ,263.2 ,186.6 ,144.5 ,117.7 ,199.7 ,234.7 ,144.6 ,231.3 ,141.3 ,233.1 ,197.4 ,157.2 ,166.2 ,173.2 ,197.9 
2009,148.2,194,132.75,270.1,186.4 ,153.4 ,181.4 ,240.9 ,175.0 ,286.4 ,187.8 ,115.4 ,148.7 ,255.8 ,206.5 ,145.2 ,248.5 ,200.0 ,175.6 ,164.5 ,234.1 ,120.3 ,223.4 ,202.9 ,203.5 ,284.4 ,145.8 ,179.1 
2010,133.2,193,138.4,276.15,208.2 ,176.6 ,156.7 ,197.6 ,277.1 ,183.8 ,275.2 ,228.8 ,132.5 ,162.0 ,202.3 ,192.6 ,171.0 ,200.5 ,278.4 ,161.3 ,185.2 ,128.7 ,176.9 ,212.7 ,256.9 ,169.9 ,144.3 ,169.6 
2011,169.4,204,147.25,265.25,162.5 ,181.3 ,240.1 ,143.0 ,192.7 ,203.3 ,314.3 ,192.4 ,263.6 ,252.5 ,216.6 ,213.3 ,193.5 ,181.4 ,158.4 ,197.6 ,211.3 ,204.8 ,151.5 ,266.9 ,188.4 ,140.3 ,221.3 ,226.4 
2012,240.4,201,136.1,270.15,169.7 ,140.5 ,179.7 ,241.6 ,203.3 ,168.8 ,260.5 ,187.1 ,131.7 ,198.0 ,190.2 ,340.3 ,176.2 ,219.0 ,240.4 ,113.6 ,247.5 ,225.4 ,200.1 ,193.1 ,161.2 ,205.8 ,279.8 ,171.1 
2014,,191,143.9,255.55,172.7 ,131.9 ,173.4 ,155.3 ,222.6 ,223.0 ,144.4 ,163.8 ,164.7 ,181.8 ,143.4 ,206.4 ,147.9 ,196.6 ,199.8 ,176.4 ,229.3 ,167.7 ,204.0 ,189.4 ,292.0 ,281.8 ,204.7 ,213.0 
2015,,195,146,262.35,166.1 ,238.9 ,247.4 ,153.0 ,286.4 ,249.2 ,255.5 ,197.8 ,161.1 ,148.3 ,238.0 ,119.1 ,269.2 ,208.0 ,166.0 ,143.7 ,194.6 ,160.8 ,186.3 ,186.1 ,171.7 ,192.2 ,192.6 ,164.4 
2016,,196,127.35,277.2,243.2 ,192.3 ,366.1 ,142.2 ,203.9 ,209.0 ,122.4 ,226.2 ,152.5 ,199.0 ,210.4 ,219.5 ,124.9 ,129.8 ,190.5 ,149.6 ,154.0 ,246.7 ,210.8 ,307.7 ,205.8 ,157.5 ,135.9 ,207.8 
