Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
1996,277.4,227,154.8,345.3,238.8 ,243.9 ,183.6 ,158.6 ,266.3 ,282.0 ,167.7 ,223.0 ,258.8 ,259.6 ,205.6 ,188.9 ,207.3 ,196.9 ,210.0 ,131.6 ,200.2 ,240.8 ,177.8 ,382.6 ,308.0 ,151.0 ,195.9 ,386.1 
1997,187.7,219,134.55,338.2,185.7 ,237.7 ,84.2 ,393.5 ,216.8 ,326.1 ,158.2 ,281.9 ,178.2 ,272.8 ,152.8 ,238.7 ,252.0 ,176.9 ,145.9 ,201.3 ,177.5 ,350.3 ,123.2 ,246.9 ,185.7 ,238.7 ,149.1 ,301.6 
1998,112.5,213,129.65,339.85,251.0 ,171.8 ,159.4 ,235.2 ,98.6 ,343.5 ,336.2 ,192.5 ,258.8 ,352.5 ,177.3 ,224.4 ,144.9 ,189.2 ,128.2 ,199.0 ,203.9 ,307.2 ,162.6 ,131.1 ,141.9 ,255.8 ,267.1 ,202.2 
1999,271.2,217,168.15,293.75,251.0 ,194.1 ,171.0 ,172.8 ,170.7 ,225.5 ,292.8 ,181.6 ,387.4 ,288.9 ,186.5 ,294.7 ,146.8 ,191.7 ,169.7 ,222.9 ,251.3 ,166.6 ,175.7 ,182.9 ,254.8 ,200.1 ,231.2 ,216.1 
2000,159.1,235,168.95,291.75,138.7 ,194.8 ,228.0 ,246.1 ,270.2 ,179.0 ,170.6 ,276.4 ,167.3 ,196.9 ,268.1 ,241.3 ,265.2 ,258.8 ,258.1 ,203.7 ,218.8 ,265.1 ,307.1 ,264.7 ,189.3 ,200.5 ,272.0 ,365.2 
2001,258.5,236,149.6,333.85,183.8 ,273.1 ,379.2 ,140.8 ,233.3 ,346.1 ,216.3 ,180.0 ,274.9 ,274.8 ,321.6 ,179.6 ,199.6 ,143.3 ,264.1 ,232.3 ,225.6 ,182.6 ,272.4 ,155.9 ,180.7 ,276.5 ,230.5 ,296.8 
2002,189.3,214,141.55,301.25,145.9 ,192.1 ,316.6 ,180.7 ,226.0 ,247.5 ,301.8 ,215.1 ,300.7 ,177.1 ,265.1 ,207.3 ,205.2 ,237.1 ,196.9 ,236.4 ,160.2 ,125.8 ,294.5 ,157.9 ,137.2 ,243.3 ,221.1 ,146.2 
2003,278.2,221,119.95,292.8,248.7 ,197.1 ,114.3 ,125.6 ,243.2 ,292.0 ,162.4 ,76.3 ,267.1 ,236.2 ,172.3 ,472.4 ,252.4 ,248.9 ,148.6 ,192.1 ,252.5 ,288.5 ,217.0 ,293.6 ,203.2 ,227.5 ,223.4 ,167.5 
2004,167.7,222,131.75,332.9,341.7 ,229.2 ,174.4 ,324.1 ,277.8 ,133.7 ,284.4 ,189.3 ,188.0 ,373.5 ,192.9 ,129.8 ,210.6 ,149.7 ,259.5 ,214.7 ,225.4 ,198.7 ,271.8 ,186.9 ,306.6 ,246.1 ,136.2 ,102.8 
2005,268.9,228,143.95,312.25,150.6 ,254.9 ,137.3 ,165.2 ,297.6 ,205.9 ,274.7 ,292.5 ,215.8 ,285.0 ,249.2 ,234.0 ,187.0 ,213.0 ,233.6 ,200.9 ,247.0 ,110.1 ,235.9 ,348.7 ,183.2 ,326.9 ,178.5 ,257.3 
2006,334.7,205,130.4,283,187.0 ,162.5 ,165.2 ,235.4 ,162.9 ,204.3 ,189.6 ,160.5 ,203.2 ,97.2 ,116.8 ,237.5 ,261.5 ,256.7 ,224.7 ,164.0 ,271.4 ,260.7 ,307.8 ,215.8 ,231.7 ,294.6 ,144.0 ,182.9 
2007,173.3,224,144.6,318.3,187.0 ,270.8 ,239.2 ,181.6 ,167.5 ,217.1 ,123.4 ,217.3 ,268.2 ,161.0 ,275.3 ,172.0 ,128.2 ,207.1 ,342.4 ,219.7 ,246.6 ,240.3 ,304.6 ,219.3 ,172.2 ,332.0 ,251.2 ,253.8 
2008,216.6,216,119.7,274.85,250.0 ,218.7 ,134.8 ,104.6 ,183.0 ,264.1 ,238.8 ,182.1 ,268.9 ,157.8 ,240.6 ,213.0 ,165.8 ,377.8 ,222.0 ,186.3 ,214.7 ,269.9 ,279.8 ,233.1 ,253.4 ,238.1 ,192.7 ,98.3 
2009,164.3,231,149.4,332.9,248.4 ,172.9 ,321.9 ,193.3 ,191.2 ,316.3 ,227.3 ,343.9 ,141.2 ,153.7 ,217.8 ,160.9 ,305.0 ,364.5 ,207.5 ,298.2 ,256.6 ,296.9 ,149.5 ,206.6 ,216.5 ,149.3 ,210.2 ,214.7 
