Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
2019,,195,115.95,286.35,195.0 ,213.6 ,130.6 ,116.6 ,232.9 ,232.0 ,126.9 ,291.4 ,136.6 ,256.8 ,179.4 ,208.0 ,200.5 ,288.7 ,125.9 ,161.9 ,114.2 ,284.0 ,258.5 ,166.1 ,249.4 ,115.3 ,266.7 ,134.3 
2020,,206,128,332.1,198.6 ,232.3 ,173.4 ,187.8 ,255.5 ,155.7 ,203.4 ,125.8 ,89.8 ,160.0 ,161.2 ,167.0 ,130.2 ,305.8 ,205.8 ,266.9 ,364.1 ,208.8 ,176.5 ,216.2 ,243.2 ,162.4 ,358.4 ,212.9 
2021,,216,121.2,287.55,205.1 ,287.9 ,216.2 ,110.8 ,274.6 ,186.0 ,244.2 ,108.5 ,244.6 ,206.4 ,291.4 ,190.4 ,235.5 ,131.6 ,247.7 ,253.6 ,224.7 ,161.4 ,196.7 ,165.6 ,227.6 ,252.4 ,243.6 ,287.2 
2022,,212,108.8,314.6,174.4 ,163.8 ,340.3 ,231.8 ,229.5 ,271.9 ,233.0 ,93.9 ,131.8 ,221.3 ,189.8 ,94.4 ,235.1 ,188.5 ,123.2 ,275.0 ,407.1 ,147.8 ,288.9 ,191.3 ,213.4 ,146.4 ,230.1 ,279.6 
2023,,188,123.35,271.35,168.8 ,149.5 ,177.7 ,226.1 ,195.2 ,139.8 ,185.7 ,216.9 ,77.0 ,189.1 ,235.9 ,158.5 ,295.3 ,129.8 ,234.9 ,150.8 ,124.7 ,212.1 ,166.8 ,261.7 ,151.3 ,122.0 ,280.3 ,262.4 
2024,,232,130.9,373.3,191.2 ,150.3 ,202.8 ,212.9 ,206.4 ,402.1 ,222.9 ,263.0 ,138.2 ,224.6 ,212.3 ,189.4 ,138.8 ,300.8 ,246.1 ,292.6 ,118.0 ,268.0 ,123.6 ,225.8 ,157.6 ,336.5 ,351.5 ,395.1 
2025,,211,122,296.15,186.7 ,273.5 ,122.9 ,207.2 ,248.2 ,201.8 ,200.2 ,198.9 ,121.1 ,269.9 ,150.4 ,281.3 ,294.7 ,297.6 ,173.5 ,243.7 ,227.7 ,214.1 ,182.6 ,117.0 ,241.2 ,338.2 ,129.1 ,153.6 
2026,,225,140.2,291.95,206.0 ,186.0 ,212.8 ,194.2 ,265.3 ,253.6 ,251.3 ,279.1 ,200.1 ,139.4 ,242.3 ,366.2 ,174.1 ,227.7 ,130.5 ,248.6 ,290.8 ,278.0 ,141.0 ,216.9 ,293.1 ,188.4 ,188.6 ,232.8 
2027,,205,155.1,271.45,213.7 ,216.8 ,174.0 ,190.7 ,81.5 ,250.8 ,271.1 ,246.2 ,271.8 ,200.2 ,160.3 ,200.8 ,158.1 ,215.7 ,158.2 ,214.9 ,152.1 ,204.9 ,168.3 ,281.0 ,259.3 ,249.1 ,177.5 ,222.5 
2028,,209,115,308.7,116.1 ,244.9 ,167.5 ,173.9 ,177.4 ,145.4 ,220.0 ,80.0 ,213.1 ,127.1 ,190.6 ,304.0 ,168.3 ,285.7 ,230.9 ,343.5 ,222.2 ,208.6 ,282.9 ,313.4 ,171.6 ,113.9 ,232.4 ,285.0 
2029,,180,117.5,274.05,210.8 ,145.7 ,146.0 ,135.0 ,149.8 ,195.2 ,230.8 ,259.1 ,132.1 ,161.6 ,188.5 ,179.5 ,219.3 ,115.9 ,172.5 ,119.1 ,180.3 ,134.7 ,229.9 ,104.1 ,289.0 ,121.6 ,295.2 ,218.3 
